Date,AAPL,JPM,MSFT,SPY,TSLA,XOM
2020-04-30,71.05610656738281,82.52607727050781,170.62132263183594,267.75048828125,52.12533187866211,35.67643356323242
2020-05-01,69.9121322631836,80.36294555664062,166.20370483398438,260.6622619628906,46.75466537475586,33.119903564453125
2020-05-04,70.90132141113281,79.4063491821289,170.26902770996094,261.3811950683594,50.74599838256836,34.45575714111328
2020-05-05,71.96549224853516,79.28569793701172,172.0970001220703,263.7962341308594,51.2140007019043,34.41737747192383
2020-05-06,72.70796966552734,77.7947998046875,173.79164123535156,262.00799560546875,52.172000885009766,33.77248001098633
2020-05-07,73.46011352539062,78.6048812866211,174.80091857910156,265.1695861816406,52.00266647338867,33.96440124511719
2020-05-08,75.20860290527344,79.88896179199219,175.82916259765625,269.5570983886719,54.62799835205078,35.45380401611328
2020-05-11,76.39202880859375,77.5362319946289,177.7904510498047,269.6123962402344,54.08599853515625,35.116004943847656
2020-05-12,75.51902770996094,75.00255584716797,173.76312255859375,264.2386169433594,53.96066665649414,34.52903366088867
2020-05-13,74.6072006225586,72.41716003417969,171.1354522705078,259.5653381347656,52.73066711425781,32.815101623535156
2020-05-14,75.06552124023438,75.42485046386719,171.87806701660156,262.671630859375,53.55533218383789,33.10468292236328
2020-05-15,74.62171173095703,74.02870178222656,174.38201904296875,263.87908935546875,53.27799987792969,32.869895935058594
2020-05-18,76.37991333007812,77.94990539550781,176.04812622070312,271.9168395996094,54.242000579833984,35.48383712768555
2020-05-19,75.93854522705078,76.41590118408203,174.82949829101562,269.1239013671875,53.867332458496094,34.3881721496582
2020-05-20,77.41541290283203,78.70829010009766,177.25450134277344,273.69586181640625,54.37066650390625,35.5073127746582
2020-05-21,76.83824157714844,77.70861053466797,175.12542724609375,271.80615234375,55.17333221435547,34.873382568359375
2020-05-22,77.33296203613281,77.10535430908203,175.20184326171875,272.3223571777344,54.45866775512695,34.90468978881836
2020-05-26,76.80915069580078,82.5777816772461,173.3496856689453,275.6775817871094,54.591331481933594,35.92991638183594
2020-05-27,77.14380645751953,87.36077880859375,173.57879638671875,279.779296875,54.68199920654297,36.18818664550781
2020-05-28,77.17774200439453,86.05945587158203,173.1873321533203,279.26318359375,53.72066879272461,35.24905014038086
2020-05-29,77.1025619506836,83.86188507080078,174.95362854003906,280.5074768066406,55.66666793823242,35.585575103759766
2020-06-01,78.05078887939453,84.97359466552734,174.5526123046875,281.64129638671875,59.87333297729492,36.21949005126953
2020-06-02,78.412109375,85.25798034667969,176.5384521484375,283.97332763671875,58.770668029785156,37.02559280395508
2020-06-03,78.84378814697266,89.86000061035156,176.96812438964844,287.7525329589844,58.86399841308594,38.536041259765625
2020-06-04,78.16475677490234,91.7301025390625,174.6385498046875,286.9966735839844,57.62533187866211,38.42646789550781
2020-06-05,80.39097595214844,95.85813903808594,178.72479248046875,294.3522644042969,59.04399871826172,41.541282653808594
2020-06-08,80.86626434326172,97.77131652832031,179.83226013183594,297.9102478027344,63.327999114990234,42.840423583984375
2020-06-09,83.41986083984375,95.26349639892578,181.20709228515625,295.6887512207031,62.711334228515625,41.88563537597656
2020-06-10,85.5660400390625,91.40263366699219,187.92831420898438,294.03887939453125,68.336669921875,39.63951873779297
2020-06-11,81.45799255371094,83.77568054199219,177.83688354492188,277.0878601074219,64.85600280761719,36.14122772216797
2020-06-12,82.1612548828125,86.0680923461914,179.2402801513672,280.4061279296875,62.35200119018555,36.91602325439453
2020-06-15,83.17737579345703,87.25738525390625,180.38600158691406,283.0238952636719,66.05999755859375,36.89253616333008
2020-06-16,85.38175201416016,87.95541381835938,184.80641174316406,288.4714660644531,65.47533416748047,37.72211837768555
2020-06-17,85.26293182373047,85.73197937011719,185.446044921875,287.2732238769531,66.11933135986328,36.493404388427734
2020-06-18,85.296875,85.26660919189453,187.431884765625,287.3838806152344,66.9306640625,36.720367431640625
2020-06-19,84.80944061279297,84.29278564453125,186.31483459472656,285.7414855957031,66.72666931152344,35.98471450805664
2020-06-22,87.02838897705078,83.37925720214844,191.48947143554688,287.5744934082031,66.28800201416016,36.32905578613281
2020-06-23,88.88597869873047,84.39617919921875,192.768798828125,288.8984680175781,66.78533172607422,36.548187255859375
2020-06-24,87.31694793701172,81.5781021118164,188.88304138183594,281.5290222167969,64.0566635131836,34.8264274597168
2020-06-25,88.47615814208984,84.42205047607422,191.2698974609375,284.547119140625,65.73200225830078,35.35078430175781
2020-06-26,85.75765991210938,79.79417419433594,187.44142150878906,277.78875732421875,63.982666015625,34.13773727416992
2020-06-29,87.73407745361328,80.14751434326172,189.4558868408203,281.8715515136719,67.29000091552734,34.68556594848633
2020-06-30,88.46643829345703,81.06100463867188,194.29635620117188,285.4822082519531,71.98733520507812,34.99861145019531
2020-07-01,88.29910278320312,80.37157440185547,195.43246459960938,287.4819030761719,74.64199829101562,34.20816421508789
2020-07-02,88.29910278320312,80.63264465332031,196.9218292236328,289.0650939941406,80.57733154296875,34.49774169921875
2020-07-06,90.6611328125,82.66890716552734,201.1608123779297,293.5274658203125,91.43866729736328,34.74034881591797
2020-07-07,90.37982940673828,80.33677673339844,198.82171630859375,290.5000305175781,92.65733337402344,33.84033203125
2020-07-08,92.48477172851562,81.1895751953125,203.19442749023438,292.72198486328125,91.05867004394531,33.76207733154297
2020-07-09,92.88248443603516,79.43175506591797,204.61695861816406,291.0555725097656,92.9520034790039,32.369022369384766
2020-07-10,93.04496002197266,83.77405548095703,203.99636840820312,294.0274353027344,102.97666931152344,33.37858963012695
2020-07-13,92.61573791503906,84.97494506835938,197.6952362060547,291.4814453125,99.80400085449219,33.386417388916016
2020-07-14,94.14836883544922,85.46224212646484,198.91722106933594,295.2587585449219,101.12000274658203,34.48991012573242
2020-07-15,94.79586791992188,86.7849349975586,198.62127685546875,297.9713439941406,103.06732940673828,34.92817306518555
2020-07-16,93.62940216064453,87.02859497070312,194.6878204345703,296.9900207519531,100.04266357421875,34.65425491333008
2020-07-17,93.44026947021484,85.41873931884766,193.69491577148438,297.85101318359375,100.05599975585938,34.059471130371094
2020-07-20,95.40941619873047,84.67034912109375,202.0201416015625,300.258056640625,109.53333282470703,33.26119613647461
2020-07-21,94.09259796142578,86.50647735595703,199.29913330078125,300.89697265625,104.55733489990234,34.94383239746094
2020-07-22,94.35691833496094,85.87993621826172,202.16329956054688,302.6096496582031,106.15533447265625,34.12990188598633
2020-07-23,90.06212615966797,86.1323013305664,193.37025451660156,298.9989318847656,100.87133026123047,34.200340270996094
2020-07-24,89.83903503417969,85.52315521240234,192.18641662597656,297.07342529296875,94.46666717529297,33.98903274536133
2020-07-27,91.9682388305664,84.32228088378906,194.62095642089844,299.23968505859375,102.63999938964844,34.48991012573242
2020-07-28,90.4574203491211,84.68775939941406,192.87380981445312,297.3418273925781,98.43267059326172,34.082942962646484
2020-07-29,92.19136810302734,86.74142456054688,194.82147216796875,300.9987487792969,99.94066619873047,34.45860290527344
2020-07-30,93.30689239501953,84.42668914794922,194.668701171875,299.9248046875,99.16600036621094,32.76814651489258
2020-07-31,103.0750503540039,84.09602355957031,195.72845458984375,302.2948913574219,95.38400268554688,32.93251037597656
2020-08-03,105.67230224609375,83.62611389160156,206.7364501953125,304.3964538574219,99.0,33.0655403137207
2020-08-04,106.37799072265625,83.14750671386719,203.63356018066406,305.572265625,99.13333129882812,34.02033233642578
2020-08-05,106.76358795166016,84.59204864501953,203.29942321777344,307.4700622558594,99.00133514404297,34.31773376464844
2020-08-06,110.48846435546875,84.6181411743164,206.5550537109375,309.5254821777344,99.30533599853516,34.153385162353516
2020-08-07,107.97644805908203,86.4803695678711,202.86024475097656,309.7476501464844,96.84733581542969,33.996849060058594
2020-08-10,109.54585266113281,87.57682800292969,198.82171630859375,310.67340087890625,94.57133483886719,34.834259033203125
2020-08-11,106.2879638671875,90.34406280517578,194.1722412109375,308.1088562011719,91.6259994506836,35.19426345825195
2020-08-12,109.82039642333984,89.57830047607422,199.71922302246094,312.4047546386719,103.65066528320312,35.186283111572266
2020-08-13,111.76393127441406,89.08226776123047,199.25135803222656,311.8399658203125,108.06666564941406,34.32438278198242
2020-08-14,111.66434478759766,89.11707305908203,199.4423370361328,311.8492736816406,110.04733276367188,34.476016998291016
2020-08-17,111.37278747558594,86.76754760742188,200.75985717773438,312.83978271484375,122.3759994506836,34.02910232543945
2020-08-18,112.30084991455078,85.55797576904297,201.9150390625,313.5157470703125,125.80599975585938,33.86150360107422
2020-08-19,112.4417495727539,85.75811004638672,200.69007873535156,312.2102966308594,125.23533630371094,33.48642349243164
